죄종(대),죄종(중),죄종(소),발생,검거,검거인원(남),검거인원(여),불상,법인체
폭력범죄,상해,아동학대처벌법위반(상습상해),4,4,4,3,0,0
폭력범죄,상해,특수상해,16,14,13,3,0,0
폭력범죄,상해,특수상해(중),2,2,1,0,1,0
폭력범죄,상해,특수상해(상습),5,5,5,0,0,0
폭력범죄,상해,존속상해(특수),30,30,24,5,0,0
폭력범죄,폭행,폭행,152344,144577,167230,34123,1829,0
폭력범죄,폭행,폭행(상습),91,87,88,7,0,0
폭력범죄,폭행,폭행치상,1557,1513,1691,319,9,0
폭력범죄,폭행,폭행치사,58,57,57,8,2,0
폭력범죄,폭행,특수폭행,6944,6684,7772,1156,58,0
폭력범죄,폭행,특수폭행(상습),2,2,2,0,0,0
폭력범죄,폭행,특수폭행치상,94,95,102,12,1,0
폭력범죄,폭행,특수폭행치사,0,0,0,0,0,0
폭력범죄,폭행,존속폭행,1507,1483,1460,335,1,0
폭력범죄,폭행,존속폭행(특수),23,23,22,4,0,0
폭력범죄,폭행,존속폭행(상습),5,5,3,1,0,0
폭력범죄,폭행,존속폭행치상,20,20,19,3,0,0
폭력범죄,폭행,존속폭행치사,2,2,2,0,0,0
폭력범죄,폭행,특가법(운전자폭행등),3004,2977,2905,206,5,0
폭력범죄,폭행,특가법(보복폭행등),73,73,74,9,0,0
폭력범죄,폭행,특가법(보복범죄등),64,62,59,6,0,0
폭력범죄,폭행,아동학대처벌법위반(상습폭행),15,15,7,7,0,0
폭력범죄,체포·감금,체포·감금,1076,1015,1075,211,63,0
폭력범죄,체포·감금,체포·감금(중),32,31,36,1,0,0
폭력범죄,체포·감금,체포·감금(특수·특수중),77,77,128,25,8,0
폭력범죄,체포·감금,체포·감금(상습·상습중),1,1,0,0,0,0
폭력범죄,체포·감금,체포·감금치사상(중·특수·상습),102,97,143,30,5,0
폭력범죄,체포·감금,존속체포·감금,22,18,24,18,0,0
폭력범죄,체포·감금,존속체포·감금(중),0,0,0,0,0,0
폭력범죄,체포·감금,존속체포·감금(특수·특수중),1,1,1,0,0,0
폭력범죄,체포·감금,존속체포·감금(상습·상습중),0,0,0,0,0,0
폭력범죄,체포·감금,존속체포·감금치사상(중·특수·상습),1,1,1,0,0,0
폭력범죄,체포·감금,특가법(보복체포·감금등),4,4,5,0,0,0
폭력범죄,체포·감금,아동학대처벌법위반(상습체포·감금),2,2,1,2,0,0
폭력범죄,협박,협박,7340,6629,6648,995,255,2
폭력범죄,협박,협박(특수),8143,8039,8268,700,43,0
폭력범죄,협박,협박(상습),27,23,20,6,0,0
폭력범죄,협박,협박(상습특수),2,2,1,0,0,0
폭력범죄,협박,존속협박,165,160,146,13,0,0
폭력범죄,협박,존속협박(특수),58,58,53,9,0,0
폭력범죄,협박,존속협박(상습),1,1,1,0,0,0
폭력범죄,협박,존속협박(상습특수),2,2,2,0,0,0
폭력범죄,협박,특가법(운전자협박),0,0,0,0,0,0
폭력범죄,협박,특가법(보복협박등),132,129,101,6,0,0
폭력범죄,협박,아동학대처벌법위반(상습협박),0,0,0,0,0,0
폭력범죄,약취·유인,약취·유인(미성년자),110,99,108,50,5,0
폭력범죄,약취·유인,약취·유인(추행·간음·결혼·영리),69,70,90,12,2,0
폭력범죄,약취·유인,약취·유인(노동력착취·성매매·성적착취·장기적출),7,7,9,4,0,0
폭력범죄,약취·유인,인신매매,2,2,1,4,0,0
폭력범죄,약취·유인,인신매매(추행·간음·결혼·영리),0,0,0,0,0,0
폭력범죄,약취·유인,인신매매등(노동력착취·성매매·성적착취·장기적출),5,5,3,0,0,0
폭력범죄,약취·유인,국외이송약취·유인·인신매매,1,1,0,1,0,0
폭력범죄,약취·유인,피약취자·피유인자·피매매자(상해·치상),1,1,1,0,0,0
폭력범죄,약취·유인,피약취자·피유인자·피매매자(살해·치사),0,0,0,0,0,0
폭력범죄,약취·유인,피약취자·피유인자·피매매자(수수·은닉),0,0,0,0,0,0
폭력범죄,약취·유인,특가법(약취·유인등),0,0,0,0,0,0
폭력범죄,약취·유인,특가법(13세미만약취·유인),1,1,1,0,0,0
폭력범죄,약취·유인,아동복지법위반(아동매매),5,5,5,22,0,0
폭력범죄,약취·유인,아동학대처벌법위반(상습국외이송),0,0,0,0,0,0
폭력범죄,약취·유인,아동학대처벌법위반(상습약취·유인·인신매매),0,0,0,0,0,0
폭력범죄,약취·유인,아동학대처벌법위반(상습피약취자·피매매자·피유인자),0,0,0,0,0,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(상습),71,71,77,5,0,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(공동),11799,11058,31250,7868,780,3
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(집단 흉기등),826,872,1098,142,10,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(상습집단 흉기등),22,20,16,3,0,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(야간·공동),0,0,0,0,0,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(야간집단흉기등),0,0,0,0,0,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(단체등의구성·활동),83,84,430,1,0,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등])),94,92,127,31,1,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(단체등의이용·지원),4,4,11,0,0,0
폭력범죄,폭력행위등,폭력행위등처벌에관한법률위반(우범자),403,403,403,25,0,0
폭력범죄,공갈,공갈,3621,2964,3179,477,485,1
폭력범죄,공갈,공갈(상습),93,93,80,5,0,0
폭력범죄,공갈,특경법(공갈),13,11,26,7,0,1
폭력범죄,공갈,아동학대처벌법위반(상습공갈),0,0,0,0,0,0
폭력범죄,공갈,특수공갈,18,18,46,7,1,0
폭력범죄,손괴,손괴의죄,59127,32462,30410,4908,1103,6
폭력범죄,손괴,아동학대처벌법위반(상습손괴),0,0,0,0,0,0
지능범죄,직무유기,직무유기·수행거부,531,336,525,118,148,3
지능범죄,직무유기,특가법(직무유기),0,0,1,0,0,0
지능범죄,직무유기,폭력행위등처벌에관한법률위반(직무유기),0,0,0,0,0,0
지능범죄,직권남용,직권남용(권리행사방해·체포·감금),280,172,297,55,62,3
지능범죄,직권남용,독직폭행·가혹행위,122,84,160,5,54,0
지능범죄,직권남용,피의사실공표,1,1,1,0,0,0
지능범죄,직권남용,공무상비밀누설,25,19,34,4,6,0
지능범죄,직권남용,선거방해,1,1,1,0,0,0
지능범죄,직권남용,특가법(체포·감금 독직폭행·가혹행위),8,7,19,1,0,0
지능범죄,증수뢰,뇌물수수등,161,149,381,29,4,8
지능범죄,증수뢰,뇌물공여등,66,67,258,23,4,0
지능범죄,증수뢰,특가법(뇌물),20,20,58,3,3,0
지능범죄,증수뢰,특가법(알선수재),12,11,34,4,0,1
지능범죄,증수뢰,부패방지법,0,0,0,0,0,0
지능범죄,증수뢰,부정청탁금지법,1,0,1,0,0,0
지능범죄,통화,통화위조·변조,1329,72,148,12,787,2
지능범죄,통화,특가법(통화위조),51,5,20,0,33,0
지능범죄,통화,기타통화에관한죄,431,46,41,5,204,0
지능범죄,문서·인장,공문서위조·변조,2679,2348,3106,1444,258,6
지능범죄,문서·인장,공전자기록등위작·변작,27,23,45,42,0,0
지능범죄,문서·인장,사문서위조·변조,9478,8107,9788,3373,710,66
지능범죄,문서·인장,사전자기록등위작·변작,461,237,227,71,204,2
지능범죄,문서·인장,공인등의위조·부정사용및행사,476,392,382,16,72,1
지능범죄,문서·인장,사인등의위조·부정사용및행사,174,158,182,67,20,4
지능범죄,유가증권인지,유가증권위조·변조,218,183,332,56,34,2
지능범죄,유가증권인지,우표(인지)등위조·변조,1,1,1,0,0,0
지능범죄,사기,사기,230915,189835,182124,50981,40150,590
지능범죄,사기,사기(상습),3325,3217,1035,88,3,0
지능범죄,사기,준사기,93,82,115,37,4,1
지능범죄,사기,준사기(상습),0,0,0,0,0,0
지능범죄,사기,컴퓨터등사용사기,5014,2339,2331,708,3497,5
지능범죄,사기,편의시설부정이용,212,141,163,44,16,2
지능범죄,사기,부당이득,45,41,48,13,0,0
지능범죄,사기,부당이득(상습),0,0,0,0,0,0
지능범죄,사기,특경법(사기),1977,1674,4129,1052,145,87
지능범죄,사기,보험사기방지특별법위반,32,30,35,9,0,0
지능범죄,횡령,횡령,12982,11273,13592,3225,327,36
지능범죄,횡령,업무상횡령,6024,5613,7625,1903,174,26
지능범죄,횡령,점유이탈물등횡령,30496,9118,7420,2471,638,0
지능범죄,횡령,특경법(횡령),551,466,966,226,15,3
지능범죄,배임,배임,1486,1346,1568,705,62,6
지능범죄,배임,업무상배임,2254,2068,3116,606,113,22
지능범죄,배임,배임수재,181,172,473,28,7,3
지능범죄,배임,배임증재,36,31,218,14,4,1
지능범죄,배임,특경법(배임),367,310,782,141,34,12
지능범죄,배임,특경법(수재등),14,13,23,3,0,0
지능범죄,배임,특경법(증재등),2,2,9,2,0,0
지능범죄,배임,특경법(알선수재),18,16,34,2,0,0
풍속범죄,성풍속범죄,간통,2,0,1,1,0,0
풍속범죄,성풍속범죄,혼인빙자간음,0,1,3,2,0,0
풍속범죄,성풍속범죄,혼인빙자간음(위계간음),1,1,0,0,0,0
풍속범죄,성풍속범죄,공연음란,2466,1948,1927,42,71,0
풍속범죄,성풍속범죄,음행매개,0,0,0,0,0,0
풍속범죄,성풍속범죄,음화등반포(판매 임대 전시 제조),22,19,5,20,1,1
풍속범죄,성풍속범죄,정보통신망이용촉진및정보보호등에관한법률(음란물유포),2412,2059,1931,127,472,4
풍속범죄,성풍속범죄,성폭력범죄의처벌등에관한특례법(카메라등이용촬영),5170,4891,4340,117,34,0
풍속범죄,성풍속범죄,성폭력범죄의처벌등에관한특례법(통신매체이용음란),1109,1041,1062,58,43,0
풍속범죄,성풍속범죄,성폭력범죄의처벌등에관한특례법(성적목적공공장소침입),470,442,436,1,4,0
풍속범죄,성풍속범죄,아동·청소년의성보호에관한법률위반(음란물제작배포등),831,779,909,19,98,5
풍속범죄,성풍속범죄,풍속영업의규제에관한법률,236,235,250,120,0,0
풍속범죄,도박범죄,도박,6547,6494,18189,3834,209,0
풍속범죄,도박범죄,도박(상습),387,392,645,82,9,0
풍속범죄,도박범죄,도박개장,416,376,1246,540,108,1
풍속범죄,도박범죄,복표발매(중개·취득),0,0,0,0,0,0
풍속범죄,도박범죄,사행행위등규제및처벌특례법,6096,5922,9772,396,165,0
특별경제범죄,특별경제범죄,신용 업무와경매에관한죄,24229,23630,25805,4804,581,22
특별경제범죄,특별경제범죄,여신전문금융업법위반,2473,1449,1486,590,286,123
특별경제범죄,특별경제범죄,대부업의등록및금융이용자보호에관한법률,941,808,1145,372,221,16
특별경제범죄,특별경제범죄,유사수신행위의규제에관한법률,740,630,1206,760,19,67
특별경제범죄,특별경제범죄,전자금융거래법위반,5804,5781,13952,5734,411,7
특별경제범죄,특별경제범죄,부정수표단속법,2279,1591,1214,228,69,23
특별경제범죄,특별경제범죄,조세범처벌법,2707,2444,3790,579,32,1335
특별경제범죄,특별경제범죄,관세법,9,6,17,1,2,3
특별경제범죄,특별경제범죄,외국환거래법,87,84,160,67,5,1
특별경제범죄,특별경제범죄,지방세법,53,43,52,13,0,26
특별경제범죄,특별경제범죄,저작권법,20632,9360,8194,2438,10404,1132
특별경제범죄,특별경제범죄,특허법,188,151,214,39,16,84
특별경제범죄,특별경제범죄,상표법,3113,3003,2121,1890,76,161
특별경제범죄,특별경제범죄,실용신안법,35,26,39,9,4,5
특별경제범죄,특별경제범죄,디자인보호법,177,146,196,35,16,60
특별경제범죄,특별경제범죄,컴퓨터프로그램보호법,0,0,0,0,0,0
특별경제범죄,특별경제범죄,특가법(관세),4,4,8,1,0,0
특별경제범죄,특별경제범죄,특가법(국고손실),2,2,2,0,0,0
특별경제범죄,특별경제범죄,특가법(조세),208,178,495,43,2,176
특별경제범죄,특별경제범죄,특경법(무인가단기금융업),0,0,0,0,0,0
특별경제범죄,특별경제범죄,특경법(사금융알선등),11,10,20,4,0,0
특별경제범죄,특별경제범죄,특경법(재산국외도피),1,1,1,0,0,0
특별경제범죄,특별경제범죄,기타경제범죄,1332,1261,1433,597,81,89
마약범죄,마약범죄,아편·몰핀에관한죄,0,0,0,0,0,0
마약범죄,마약범죄,마약류관리에관한법률(대마),637,611,792,113,8,0
마약범죄,마약범죄,마약류관리에관한법률(마약),1154,1153,533,698,3,5
마약범죄,마약범죄,마약류관리에관한법률(향정),5465,5260,5330,1203,68,11
마약범죄,마약범죄,마약류불법거래방지에관한특례법,69,68,79,12,0,0
마약범죄,마약범죄,특가법(마약),1,1,2,1,0,0
마약범죄,마약범죄,특가법(향정),3,3,5,0,0,0
보건범죄,보건범죄,음용수에관한죄,29,21,19,6,3,0
보건범죄,보건범죄,공중위생관리법,1317,1306,745,685,0,28
보건범죄,보건범죄,식품위생법,7847,7781,4458,5494,90,259
보건범죄,보건범죄,의료법,2158,2086,2740,2098,78,147
보건범죄,보건범죄,약사법,1261,1230,1860,808,31,97
보건범죄,보건범죄,전염병예방법,1,1,1,1,0,0
보건범죄,보건범죄,보건범죄특조법(부정식품),4,3,4,1,0,0
보건범죄,보건범죄,보건범죄특조법(부정의료업자),180,181,151,143,1,3
보건범죄,보건범죄,보건범죄특조법(부정의약품),12,11,20,6,3,1
보건범죄,보건범죄,기타보건범죄,1853,1827,1563,1028,76,183
환경범죄,환경범죄,대기환경보전법,1009,1001,1056,53,10,583
환경범죄,환경범죄,토양환경보전법,14,14,15,7,1,8
환경범죄,환경범죄,수질환경보전법,0,0,0,0,0,0
환경범죄,환경범죄,야생생물보호및관리에관한법률위반,118,114,154,4,4,1
환경범죄,환경범죄,특가법(산림),6,6,15,1,0,0
환경범죄,환경범죄,폐기물관리법,874,804,1020,103,33,268
환경범죄,환경범죄,해양환경관리법,1577,1574,412,11,0,178
환경범죄,환경범죄,환경범죄의단속에관한특별조치법,3,3,5,0,0,1
환경범죄,환경범죄,기타환경범죄,748,736,724,233,16,327
교통범죄,교통사고,교통사고처리특례법(인피교통사고),192992,187475,155172,41858,3677,8
교통범죄,교통사고,도로교통법(물피교통사고),17768,13517,14376,1884,3644,66
교통범죄,교통사고,도로교통법(물피교통사고미조치),97030,47903,44990,9226,41754,0
교통범죄,교통사고,특가법(도주차량),10683,10207,9030,1475,345,1
교통범죄,교통사고,특가법(위험운전치사상),6297,6275,5483,650,3,0
교통범죄,교통사고외,교통방해의죄,2045,2007,2144,411,26,1
교통범죄,교통사고외,도로교통법(공동위험행위),155,149,746,27,8,1
교통범죄,교통사고외,도로교통법(무면허운전),67053,66158,63664,5218,32,6
교통범죄,교통사고외,도로교통법(음주운전),201883,201514,182756,21422,23,2
교통범죄,교통사고외,도로교통법(음주측정거부),2587,2571,2378,213,0,0
교통범죄,교통사고외,도로법,1907,1860,1942,204,22,427
교통범죄,교통사고외,기타교통범죄,1,1,2,0,0,0
노동범죄,노동범죄,근로기준법,17,15,17,4,0,1
노동범죄,노동범죄,노동조합및노동관계조정법,5,6,10,2,0,2
노동범죄,노동범죄,산업안전보건법,23,20,48,0,2,14
노동범죄,노동범죄,직업안정법,377,368,897,200,14,15
노동범죄,노동범죄,기타노동범죄,2035,2024,2555,2157,1,418
안보범죄,안보범죄,공안을해하는죄,39,33,115,17,3,0
안보범죄,안보범죄,국가보안법,35,32,29,5,0,0
안보범죄,안보범죄,기타안보범죄,7,4,5,0,3,0
선거범죄,선거범죄,공직선거법,965,847,1151,291,148,1
선거범죄,선거범죄,정당법,6,4,7,1,0,0
선거범죄,선거범죄,정치자금법,16,16,28,8,0,0
선거범죄,선거범죄,기타선거범죄,31,28,40,5,17,0
병역범죄,병역범죄,병역법,6321,5835,6993,116,0,4
병역범죄,병역범죄,예비군법위반,10325,9861,11066,15,1,0
병역범죄,병역범죄,기타병역범죄,5,2,5,0,0,0
기타범죄,기타범죄,가정폭력범죄의처벌등에관한특례법위반,205,203,176,18,0,0
기타범죄,기타범죄,개인정보 보호법,956,833,1161,591,150,115
기타범죄,기타범죄,건설산업기본법,1849,1824,2914,399,7,400
기타범죄,기타범죄,건설폐기물의재활용촉진에관한법률,55,53,90,4,1,24
기타범죄,기타범죄,건축법,3885,3825,3653,1406,37,486
기타범죄,기타범죄,게임산업진흥에관한법률,7872,7736,9904,1999,189,13
기타범죄,기타범죄,경범죄처벌법,7290,7092,6510,661,74,1
기타범죄,기타범죄,고압가스안전관리법,365,363,163,15,1,58
기타범죄,기타범죄,골재채취법,46,45,47,1,1,27
기타범죄,기타범죄,공무방해에관한죄,14748,14647,15205,2010,78,2
기타범죄,기타범죄,공유수면관리및매립에관한법률위반,5347,5337,196,67,1,28
기타범죄,기타범죄,공인중개사법,929,888,1050,530,8,10
기타범죄,기타범죄,과실치사상의죄,5489,5098,5841,1418,125,27
기타범죄,기타범죄,국민건강보험법,469,307,160,186,116,3
기타범죄,기타범죄,국민연금법,105,101,109,25,2,28
기타범죄,기타범죄,국토의계획및이용에관한법률,1247,1206,1359,349,19,149
기타범죄,기타범죄,권리행사를방해하는죄,8868,7482,9135,2498,130,8
기타범죄,기타범죄,낙태의죄,34,27,21,35,2,0
기타범죄,기타범죄,낚시관리및육성법위반,1741,1735,196,24,0,1
기타범죄,기타범죄,내수면어업법,81,80,131,3,1,0
기타범죄,기타범죄,농수산물유통및가격안정에관한법률,37,37,57,23,0,1
기타범죄,기타범죄,농수산물품질관리법,8,8,6,2,0,0
기타범죄,기타범죄,농지법,899,841,1033,273,11,100
기타범죄,기타범죄,담배사업법,148,145,141,57,4,5
기타범죄,기타범죄,도시가스사업법,40,38,39,6,1,10
기타범죄,기타범죄,도시공원및녹지등에관한법률,119,114,115,16,5,7
기타범죄,기타범죄,도주와도주원조죄,5,5,6,3,0,0
기타범죄,기타범죄,독점규제및공정거래에관한법률,5,3,1,1,0,2
기타범죄,기타범죄,명예에관한죄,28483,23015,23524,9001,5029,4
기타범죄,기타범죄,무고의죄,3617,3015,3082,1623,136,2
기타범죄,기타범죄,문화재보호법,127,115,189,40,5,30
기타범죄,기타범죄,밀항단속법,16,16,12,7,0,0
기타범죄,기타범죄,방문판매등에관한법률,173,156,449,241,11,29
기타범죄,기타범죄,배타적경제수역의외국인어업등에관한법률,213,213,348,0,0,0
기타범죄,기타범죄,범인은닉·범인도피죄,119,115,542,190,1,0
기타범죄,기타범죄,변호사법,368,336,506,49,14,3
기타범죄,기타범죄,보안관찰법,7,7,7,0,0,0
기타범죄,기타범죄,부정경쟁방지및영업비밀보호에관한법률,502,462,835,156,34,141
기타범죄,기타범죄,비밀침해죄,87,63,54,33,16,0
기타범죄,기타범죄,사격및사격장단속법,0,0,0,0,0,0
기타범죄,기타범죄,산림법,3,2,0,1,2,0
기타범죄,기타범죄,생명윤리및안전에관한법률,1,1,2,0,0,0
기타범죄,기타범죄,석유및석유대체연료사업법,730,720,1102,140,5,94
기타범죄,기타범죄,선박안전법,2669,2668,294,8,0,86
기타범죄,기타범죄,선박직원법,639,375,199,6,0,28
기타범죄,기타범죄,성매매방지및피해자보호등에관한법률위반,17,16,17,3,3,0
기타범죄,기타범죄,성매매알선등행위의처벌에관한법률위반(성매매),7268,7177,13512,4274,196,1
기타범죄,기타범죄,성매매알선등행위의처벌에관한법률위반(성매매강요등),29,29,36,18,0,0
기타범죄,기타범죄,성매매알선등행위의처벌에관한법률위반(성매매광고),161,131,122,27,30,0
기타범죄,기타범죄,성매매알선등행위의처벌에관한법률위반(성매매알선등),3998,3969,7552,5318,156,4
기타범죄,기타범죄,성매매알선등행위의처벌에관한법률위반(아동·청소년),2,2,4,7,0,0
기타범죄,기타범죄,성매매알선등행위의처벌에관한법률위반(기타),3802,3759,6701,3754,165,5
기타범죄,기타범죄,성폭력범죄의처벌등에관한특례법(기타),2853,2719,2876,33,33,0
기타범죄,기타범죄,소방기본법,40,40,34,6,0,0
