소분류,발생,검거,검거비율
존속폭행치상,2,2,1.000000
특가법(운전자폭행등),65,64,0.984615
특가법(보복폭행등),4,3,0.750000
특가법(보복범죄등),1,1,1.000000
아동학대처벌법위반(상습폭행),1,1,1.000000
체포·감금,36,34,0.944444
체포·감금(중),1,1,1.000000
체포·감금치사상(중·특수·상습),3,3,1.000000
협박,164,156,0.951220
협박(특수),69,63,0.913043
존속협박,6,6,1.000000
약취·유인(미성년자),3,3,1.000000
약취·유인(추행·간음·결혼·영리),1,1,1.000000
폭력행위등처벌에관한법률위반(상습),31,29,0.935484
폭력행위등처벌에관한법률위반(공동),406,362,0.891626
폭력행위등처벌에관한법률위반(집단 흉기등),679,663,0.976436
폭력행위등처벌에관한법률위반(상습집단 흉기등),18,19,1.055556
폭력행위등처벌에관한법률위반(단체등의구성·활동),18,18,1.000000
폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등])),49,49,1.000000
폭력행위등처벌에관한법률위반(우범자),6,6,1.000000
공갈,73,65,0.890411
손괴의죄,1961,960,0.489546
직무유기·수행거부,16,12,0.750000
직권남용(권리행사방해·체포·감금),11,5,0.454545
독직폭행·가혹행위,1,1,1.000000
공무상비밀누설,4,4,1.000000
뇌물수수등,5,4,0.800000
뇌물공여등,2,2,1.000000
통화위조·변조,25,11,0.440000
특가법(통화위조),5,0,0.000000
기타통화에관한죄,11,8,0.727273
공문서위조·변조,89,77,0.865169
공전자기록등위작·변작,1,1,1.000000
사문서위조·변조,308,261,0.847403
사전자기록등위작·변작,8,8,1.000000
공인등의위조·부정사용및행사,12,10,0.833333
사인등의위조·부정사용및행사,3,4,1.333333
유가증권위조·변조,2,1,0.500000
사기,6015,5023,0.835079
사기(상습),29,28,0.965517
준사기,5,3,0.600000
컴퓨터등사용사기,344,113,0.328488
부당이득,3,2,0.666667
특경법(사기),40,29,0.725000
횡령,392,323,0.823980
업무상횡령,166,146,0.879518
점유이탈물등횡령,339,82,0.241888
특경법(횡령),15,12,0.800000
배임,32,33,1.031250
업무상배임,42,35,0.833333
배임수재,8,7,0.875000
배임증재,1,1,1.000000
특경법(배임),10,11,1.100000
간통,9,10,1.111111
공연음란,59,51,0.864407
정보통신망이용촉진및정보보호등에관한법률(음란물유포),27,12,0.444444
성폭력범죄의처벌등에관한특례법(카메라등이용촬영),119,108,0.907563
성폭력범죄의처벌등에관한특례법(통신매체이용음란),22,23,1.045455
성폭력범죄의처벌등에관한특례법(성적목적공공장소침입),16,15,0.937500
아동·청소년의성보호에관한법률위반(음란물제작배포등),60,54,0.900000
풍속영업의규제에관한법률,1,1,1.000000
도박,170,164,0.964706
도박(상습),9,5,0.555556
도박개장,6,8,1.333333
사행행위등규제및처벌특례법,110,92,0.836364
신용 업무와경매에관한죄,469,448,0.955224
여신전문금융업법위반,75,35,0.466667
대부업의등록및금융이용자보호에관한법률,38,37,0.973684
유사수신행위의규제에관한법률,2,2,1.000000
전자금융거래법위반,223,218,0.977578
부정수표단속법,64,60,0.937500
조세범처벌법,100,103,1.030000
외국환거래법,1,3,3.000000
저작권법,370,320,0.864865
특허법,6,6,1.000000
상표법,51,52,1.019608
실용신안법,1,1,1.000000
디자인보호법,4,3,0.750000
특가법(조세),12,7,0.583333
기타경제범죄,53,53,1.000000
마약류관리에관한법률(대마),53,53,1.000000
마약류관리에관한법률(마약),68,56,0.823529
마약류관리에관한법률(향정),78,71,0.910256
음용수에관한죄,3,3,1.000000
공중위생관리법,4,4,1.000000
식품위생법,142,129,0.908451
의료법,35,36,1.028571
약사법,37,38,1.027027
보건범죄특조법(부정식품),2,2,1.000000
보건범죄특조법(부정의료업자),6,6,1.000000
기타보건범죄,39,37,0.948718
대기환경보전법,4,4,1.000000
야생생물보호및관리에관한법률위반,27,28,1.037037
폐기물관리법,17,18,1.058824
기타환경범죄,21,16,0.761905
교통사고처리특례법(인피교통사고),7768,7572,0.974768
도로교통법(물피교통사고),451,253,0.560976
도로교통법(물피교통사고미조치),2828,1425,0.503890
특가법(도주차량),379,362,0.955145
특가법(위험운전치사상),361,359,0.994460
교통방해의죄,71,67,0.943662
도로교통법(공동위험행위),1,0,0.000000
도로교통법(무면허운전),1737,1472,0.847438
도로교통법(음주운전),6213,6232,1.003058
도로교통법(음주측정거부),83,82,0.987952
도로법,17,10,0.588235
근로기준법,1,0,0.000000
직업안정법,5,5,1.000000
기타노동범죄,6,5,0.833333
국가보안법,1,1,1.000000
공직선거법,2,1,0.500000
정치자금법,1,1,1.000000
기타선거범죄,21,22,1.047619
병역법,169,167,0.988166
향토예비군설치법,349,337,0.965616
가정폭력범죄의처벌등에관한특례법위반,12,12,1.000000
개인정보 보호법,23,17,0.739130
건설산업기본법,16,2,0.125000
건설폐기물의재활용촉진에관한법률,1,1,1.000000
건축법,240,238,0.991667
게임산업진흥에관한법률,143,142,0.993007
경범죄처벌법,79,80,1.012658
고압가스안전관리법,5,5,1.000000
골재채취법,7,6,0.857143
공무방해에관한죄,388,389,1.002577
공인중개사법,48,48,1.000000
과실치사상의죄,161,151,0.937888
국민건강보험법,5,3,0.600000
국민연금법,8,6,0.750000
국토의계획및이용에관한법률,42,42,1.000000
권리행사를방해하는죄,207,191,0.922705
낙태의죄,2,2,1.000000
내수면어업법,18,17,0.944444
농수산물유통및가격안정에관한법률,1,1,1.000000
농지법,36,35,0.972222
담배사업법,2,2,1.000000
도시가스사업법,1,1,1.000000
도시공원및녹지등에관한법률,1,2,2.000000
명예에관한죄,665,596,0.896241
무고의죄,92,79,0.858696
문화재보호법,15,11,0.733333
방문판매등에관한법률,2,2,1.000000
범인은닉·범인도피죄,4,5,1.250000
변호사법,10,4,0.400000
부정경쟁방지및영업비밀보호에관한법률,5,5,1.000000
석유및석유대체연료사업법,50,48,0.960000
성매매알선등행위의처벌에관한법률위반(성매매),14,15,1.071429
성매매알선등행위의처벌에관한법률위반(성매매강요등),2,2,1.000000
성매매알선등행위의처벌에관한법률위반(성매매알선등),39,41,1.051282
성매매알선등행위의처벌에관한법률위반(기타),25,25,1.000000
성폭력범죄의처벌등에관한특례법(기타),101,105,1.039604
수도법,5,5,1.000000
신앙에관한죄,18,11,0.611111
신용정보의이용및보호에관한법률,1,1,1.000000
실화및업무상실화죄,103,59,0.572816
아동·청소년의성보호에관한법률위반(강요행위등),2,2,1.000000
아동·청소년의성보호에관한법률위반(성매수등),10,14,1.400000
아동·청소년의성보호에관한법률위반(알선영업행위등),1,1,1.000000
아동·청소년의성보호에관한법률위반(기타),9,11,1.222222
아동복지법위반(유기·학대 등),19,19,1.000000
아동복지법(기타),22,22,1.000000
아동학대처벌법위반(아동복지시설 종사자 등의 아동학대 가중처벌),2,2,1.000000
아동학대처벌법위반(기타),3,3,1.000000
액화석유가스의안전및사업관리법,14,14,1.000000
여객자동차운수사업법,7,11,1.571429
옥외광고물등관리법,5,4,0.800000
위증죄,57,52,0.912281
위치정보의보호및이용등에관한법률,1,1,1.000000
유기와학대의죄,6,6,1.000000
음악산업진흥에관한법률,193,191,0.989637
자동차관리법,708,532,0.751412
자동차손해배상보장법,313,218,0.696486
자연공원법,10,11,1.100000
장물에관한죄,29,10,0.344828
장사등에관한법률,3,3,1.000000
전기통신기본법,1,3,3.000000
정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),2,0,0.000000
정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),81,76,0.938272
정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),29,7,0.241379
정보통신망이용촉진및정보보호등에관한법률위반(기타),97,44,0.453608
주거침입의죄,278,220,0.791367
주민등록법,62,48,0.774194
주차장법,2,2,1.000000
집회및시위에관한법률,7,7,1.000000
채무자회생및파산에관한법률위반,4,3,0.750000
청소년보호법,273,272,0.996337
총포·도검·화약류등의안전관리에관한법률,9,10,1.111111
축산물위생관리법,60,56,0.933333
출입국관리법,44,37,0.840909
통신비밀보호법,9,9,1.000000
폭력행위등처벌에관한법률위반(기타),1,1,1.000000
하수도법,6,6,1.000000
하천법,27,27,1.000000
학원의설립·운영및과외교섭에관한법률,9,9,1.000000
허위감정 증거인멸·은닉 증인은닉죄,3,3,1.000000
화물자동차운수사업법,34,32,0.941176
기타,416,302,0.725962
